id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
745522009945304437,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28485,-123.13942,entire home/apt,213.0,31,0,,,38,82,0,,4.799709437963944
745524390513431446,Home in Vancouver · ★4.67 · 3 bedrooms · 6 beds · 2.5 baths,459751908,Stan,,Kensington-Cedar Cottage,49.2369961,-123.0710575,entire home/apt,380.0,2,6,2023-11-26,1.54,2,348,6,23-158599,4.67
745527557166087210,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28495,-123.13754,entire home/apt,213.0,31,0,,,38,54,0,,4.799709437963944
745533355312770289,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28647,-123.13776,entire home/apt,213.0,31,0,,,38,0,0,,4.799709437963944
745542398112317252,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28635,-123.13877,entire home/apt,210.0,31,1,2023-05-20,0.14,38,69,1,,4.799709437963944
745550740981415650,Guest suite in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,26486231,Taunia,,Kensington-Cedar Cottage,49.2391,-123.08911,entire home/apt,162.0,2,3,2023-12-12,0.24,1,77,2,22-295746,5.0
745551111952125078,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28647,-123.13773,entire home/apt,210.0,31,0,,,38,0,0,,4.799709437963944
745558823564456340,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,West End,49.28457,-123.13894,entire home/apt,213.0,31,0,,,38,48,0,,4.799709437963944
745689118912291772,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,444229445,Alexandra,,Kitsilano,49.2671,-123.15752,entire home/apt,118.0,30,0,,,1,333,0,,4.799709437963944
745735919084788615,Loft in Vancouver · 1 bedroom · 1 bed · 1 bath,63172600,Rachel,,Downtown,49.2792118,-123.1214803,entire home/apt,150.0,30,2,2023-06-16,0.23,1,233,2,,4.799709437963944
745756457728595662,Condo in Vancouver · 2 bedrooms · 2 beds · 1 bath,145677420,Lucky,,Downtown,49.28088,-123.12415,entire home/apt,350.0,30,0,,,2,112,0,,4.799709437963944
746481347508197842,Guest suite in Vancouver · ★4.65 · 1 bedroom · 1 bed · 1 bath,80826197,Jessie,,Dunbar Southlands,49.2539799,-123.1793229,entire home/apt,145.0,7,20,2023-10-27,1.49,2,281,17,23-179186,4.65
746517158563361878,Guest suite in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 bath,94984249,Mischa,,Hastings-Sunrise,49.28323,-123.0501,entire home/apt,135.0,4,35,2023-10-16,2.66,1,81,32,23-158629,4.91
746649224479313723,Serviced apartment in Vancouver · 1 bedroom · 1 bed · 1 bath,74806205,Adam,,Downtown,49.28751,-123.11652,entire home/apt,1449.0,5,0,,,30,364,0,20-108263,4.799709437963944
747022138292809408,Condo in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,227662329,Jordan,,Strathcona,49.269785229393975,-123.10053143086964,entire home/apt,103.0,1,35,2023-11-18,2.65,134,330,31,22-694200,4.89
747100539193960417,Condo in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 bath,2232353,Ruby,,Downtown Eastside,49.28031,-123.10536,entire home/apt,371.0,1,17,2023-11-26,1.28,1,355,15,22-291661,4.88
747156256633418043,Condo in Vancouver · ★4.65 · 1 bedroom · 2 beds · 1 bath,4980352,Aimee,,Downtown,49.2788408,-123.107399,entire home/apt,200.0,2,17,2023-09-30,1.33,1,355,15,23-158671,4.65
747187070772724339,Rental unit in Vancouver · 1 bedroom · 2 beds · 1 shared bath,377295212,Gabe,,Kitsilano,49.26982,-123.18107,Shared room,55.0,31,2,2023-04-30,0.22,7,364,2,20110201,4.799709437963944
747187671492658575,Loft in Vancouver · 1 bedroom · 1 bed · 1 shared bath,377295212,Gabe,,Kitsilano,49.2677,-123.18027,Shared room,70.0,31,0,,,7,364,0,21138994,4.799709437963944
747755277066169099,Condo in Vancouver · ★4.84 · 2 bedrooms · 2 beds · 2 baths,227662329,Jordan,,Downtown,49.278,-123.10719,entire home/apt,109.0,1,66,2023-12-02,4.9,134,0,61,23-158526,4.84
